ts,x,y,yaw,t
1772875644.024035,1.361,1.251,1.127,8.500091075897217
1772875644.1243367,1.364,1.258,1.123,8.600392818450928
1772875644.2239485,1.363,1.263,1.115,8.700004577636719
1772875644.3240573,1.365,1.264,1.109,8.800113439559937
1772875644.4244282,1.364,1.27,1.115,8.900484323501587
1772875644.5241086,1.361,1.279,1.117,9.00016474723816
1772875644.624437,1.361,1.279,1.114,9.10049319267273
1772875644.7238395,1.361,1.282,1.119,9.19989562034607
1772875644.8244364,1.359,1.289,1.134,9.300492525100708
1772875644.9241045,1.358,1.293,1.154,9.400160551071167
1772875645.0241065,1.356,1.301,1.161,9.500162601470947
1772875645.1240053,1.355,1.304,1.161,9.600061416625977
1772875645.2243538,1.355,1.306,1.17,9.700409889221191
1772875645.3240507,1.355,1.314,1.17,9.800106763839722
1772875645.4241328,1.354,1.322,1.149,9.90018892288208
1772875645.524021,1.351,1.33,1.141,10.00007700920105
1772875645.6239924,1.348,1.338,1.145,10.100048542022705
1772875645.7241445,1.346,1.345,1.139,10.20020055770874
1772875645.8242793,1.346,1.344,1.138,10.30033540725708
1772875645.9240026,1.347,1.344,1.149,10.40005874633789
1772875646.0241282,1.347,1.345,1.143,10.500184297561646
1772875646.1238298,1.348,1.345,1.13,10.599885940551758
1772875646.223861,1.348,1.344,1.125,10.699917078018188
1772875646.3240032,1.348,1.344,1.126,10.80005931854248
1772875646.4240296,1.348,1.344,1.128,10.900085687637329
1772875646.5240703,1.348,1.344,1.135,11.000126361846924
1772875646.6249685,1.349,1.344,1.15,11.101024627685547
1772875646.7242143,1.348,1.349,1.158,11.200270414352417
1772875646.825745,1.345,1.357,1.153,11.301801204681396
1772875646.9244776,1.342,1.363,1.14,11.400533676147461
1772875647.0239615,1.342,1.364,1.126,11.500017642974854
1772875647.1241674,1.342,1.364,1.123,11.600223541259766
1772875647.2240233,1.342,1.363,1.119,11.700079441070557
1772875647.3243375,1.341,1.363,1.116,11.80039358139038
1772875647.4240334,1.342,1.364,1.123,11.900089502334595
1772875647.523974,1.342,1.364,1.138,12.000030040740967
1772875647.6239307,1.343,1.363,1.153,12.099986791610718
1772875647.7238448,1.344,1.363,1.169,12.19990086555481
1772875647.824387,1.344,1.363,1.167,12.300443172454834
1772875647.923928,1.344,1.362,1.148,12.399984121322632
1772875648.0240128,1.344,1.362,1.131,12.50006890296936
1772875648.1239064,1.345,1.361,1.126,12.59996247291565
1772875648.223951,1.345,1.36,1.124,12.700007200241089
1772875648.3238227,1.345,1.359,1.128,12.7998788356781
1772875648.424651,1.346,1.358,1.146,12.900707006454468
1772875648.5242772,1.347,1.357,1.173,13.000333309173584
1772875648.6237142,1.349,1.358,1.201,13.099770307540894
1772875648.7258086,1.351,1.357,1.223,13.20186471939087
1772875648.824273,1.351,1.357,1.23,13.300329208374023
1772875648.9242795,1.348,1.364,1.229,13.400335550308228
1772875649.0241,1.346,1.369,1.227,13.500156164169312
1772875649.1244755,1.344,1.375,1.216,13.600531578063965
1772875649.223977,1.341,1.381,1.21,13.700033187866211
1772875649.323921,1.339,1.387,1.208,13.79997706413269
1772875649.4238174,1.336,1.394,1.202,13.899873495101929
1772875649.5243063,1.333,1.402,1.201,14.000362396240234
1772875649.6243963,1.33,1.409,1.208,14.100452423095703
1772875649.724068,1.327,1.416,1.212,14.200124025344849
1772875649.82384,1.324,1.423,1.213,14.299896001815796
1772875649.9241347,1.321,1.43,1.207,14.400190830230713
1772875650.0243075,1.317,1.437,1.204,14.50036358833313
1772875650.1246192,1.316,1.441,1.202,14.600675344467163
1772875650.2241201,1.315,1.441,1.195,14.700176239013672
1772875650.3245,1.312,1.449,1.186,14.800556182861328
1772875650.4244,1.309,1.454,1.174,14.900456190109253
1772875650.523761,1.306,1.461,1.165,14.999817132949829
1772875650.623852,1.304,1.468,1.149,15.099908113479614
1772875650.7239327,1.301,1.474,1.131,15.199988842010498
1772875650.823928,1.298,1.482,1.126,15.299984216690063
1772875650.9242842,1.297,1.485,1.129,15.40034031867981
1772875651.0240629,1.296,1.488,1.138,15.500118970870972
1772875651.1239643,1.295,1.494,1.145,15.600020408630371
1772875651.2238326,1.293,1.501,1.143,15.699888706207275
1772875651.325399,1.291,1.504,1.147,15.801455020904541
1772875651.4238331,1.289,1.511,1.158,15.89988923072815
1772875651.5245535,1.288,1.514,1.176,16.000609636306763
1772875651.624115,1.286,1.519,1.196,16.100171089172363
1772875651.724807,1.285,1.526,1.206,16.200863122940063
1772875651.8252304,1.282,1.531,1.193,16.301286458969116
1772875651.9238322,1.279,1.538,1.177,16.399888277053833
1772875652.0239704,1.28,1.538,1.178,16.50002646446228
1772875652.1247616,1.282,1.539,1.187,16.600817680358887
1772875652.2239916,1.282,1.537,1.194,16.700047731399536
1772875652.3238478,1.281,1.541,1.204,16.799903869628906
1772875652.4245045,1.279,1.548,1.215,16.9005606174469
1772875652.5238855,1.277,1.556,1.227,16.99994158744812
1772875652.6239822,1.276,1.563,1.231,17.100038290023804
1772875652.7266166,1.273,1.568,1.223,17.202672719955444
1772875652.8260574,1.269,1.576,1.216,17.30211353302002
1772875652.924124,1.267,1.583,1.207,17.400180101394653
1772875653.0241122,1.264,1.59,1.208,17.500168323516846
1772875653.123938,1.262,1.598,1.211,17.59999418258667
1772875653.2250023,1.262,1.606,1.199,17.701058387756348
1772875653.3240838,1.259,1.612,1.184,17.800139904022217
1772875653.424184,1.256,1.618,1.182,17.900240182876587
1772875653.5241103,1.257,1.617,1.182,18.000166416168213
1772875653.6243913,1.257,1.617,1.189,18.100447416305542
1772875653.7275603,1.26,1.619,1.205,18.20361638069153
1772875653.8239326,1.261,1.619,1.204,18.299988746643066
1772875653.924819,1.26,1.623,1.192,18.400875091552734
1772875654.0237978,1.257,1.629,1.17,18.49985384941101
1772875654.1238463,1.256,1.635,1.152,18.599902391433716
1772875654.2238114,1.254,1.638,1.131,18.699867486953735
1772875654.3244832,1.255,1.637,1.116,18.800539255142212
1772875654.4240227,1.252,1.641,1.097,18.900078773498535
1772875654.5242708,1.251,1.649,1.071,19.00032687187195
1772875654.6240401,1.249,1.653,1.044,19.100096225738525
1772875654.7240756,1.249,1.652,1.016,19.20013165473938
1772875654.8238971,1.249,1.65,0.985,19.29995322227478
1772875654.9241042,1.249,1.649,0.96,19.400160312652588
1772875655.0241466,1.249,1.647,0.939,19.500202655792236
1772875655.124766,1.25,1.647,0.925,19.60082221031189
1772875655.2239563,1.25,1.645,0.922,19.70001244544983
1772875655.323811,1.251,1.643,0.923,19.799867153167725
1772875655.4239807,1.253,1.642,0.93,19.900036811828613
1772875655.5247607,1.253,1.641,0.941,20.000816822052002
1772875655.6241875,1.254,1.64,0.957,20.10024356842041
1772875655.7241251,1.255,1.64,0.971,20.200181245803833
1772875655.8241549,1.256,1.639,0.983,20.30021095275879
1772875655.923957,1.256,1.639,0.993,20.400013208389282
1772875656.0241075,1.256,1.638,1.0,20.500163555145264
1772875656.1241949,1.255,1.646,1.006,20.600250959396362
1772875656.2239394,1.255,1.654,1.009,20.699995517730713
1772875656.3238733,1.253,1.662,1.011,20.79992938041687
1772875656.4240706,1.252,1.67,1.013,20.900126695632935
1772875656.523823,1.251,1.675,1.009,20.999879121780396
1772875656.6241128,1.25,1.677,0.995,21.10016894340515
1772875656.7239475,1.248,1.684,0.968,21.200003623962402
1772875656.8238852,1.248,1.684,0.939,21.299941301345825
1772875656.9238346,1.247,1.683,0.917,21.399890661239624
1772875657.0248275,1.247,1.682,0.898,21.50088357925415
1772875657.1242483,1.247,1.68,0.876,21.60030436515808
1772875657.2245147,1.25,1.679,0.857,21.700570821762085
1772875657.3250525,1.25,1.678,0.839,21.801108598709106
1772875657.4239054,1.25,1.677,0.82,21.899961471557617
1772875657.5243328,1.25,1.676,0.815,22.000388860702515
1772875657.6259859,1.25,1.675,0.819,22.102041959762573
1772875657.7240443,1.25,1.673,0.829,22.200100421905518
1772875657.8248026,1.251,1.672,0.839,22.300858736038208
1772875657.9242857,1.252,1.67,0.851,22.400341749191284
1772875658.0256195,1.252,1.668,0.862,22.501675605773926
1772875658.1238835,1.254,1.667,0.873,22.599939584732056
1772875658.224067,1.255,1.666,0.886,22.700123071670532
1772875658.3243663,1.256,1.665,0.896,22.800422430038452
1772875658.424097,1.257,1.664,0.902,22.900153160095215
1772875658.524296,1.258,1.663,0.908,23.000352144241333
1772875658.6240606,1.259,1.663,0.914,23.100116729736328
1772875658.7240045,1.26,1.662,0.919,23.200060606002808
1772875658.8248246,1.26,1.661,0.929,23.300880670547485
1772875658.9240332,1.261,1.66,0.937,23.400089263916016
1772875659.023937,1.262,1.66,0.942,23.499993085861206
1772875659.124385,1.262,1.658,0.949,23.600441217422485
1772875659.2239995,1.264,1.658,0.95,23.700055599212646
1772875659.324113,1.266,1.657,0.956,23.800168991088867
1772875659.4239686,1.266,1.656,0.96,23.90002465248108
1772875659.5238628,1.267,1.655,0.967,23.999918937683105
1772875659.6239364,1.267,1.654,0.975,24.099992513656616
1772875659.724339,1.267,1.653,0.981,24.200395107269287
1772875659.8240113,1.268,1.653,0.985,24.30006742477417
1772875659.9240015,1.268,1.652,0.989,24.400057554244995
1772875660.0238974,1.269,1.652,0.992,24.499953508377075
1772875660.1239998,1.269,1.651,0.994,24.600055932998657
1772875660.2239218,1.269,1.65,1.002,24.69997787475586
1772875660.3243058,1.269,1.65,1.01,24.80036187171936
1772875660.4249127,1.27,1.65,1.017,24.90096879005432
1772875660.525139,1.271,1.649,1.03,25.001195192337036
1772875660.624411,1.271,1.648,1.046,25.100467205047607
1772875660.7240808,1.272,1.646,1.07,25.20013689994812
1772875660.8242488,1.274,1.644,1.101,25.300304889678955
1772875660.9248433,1.276,1.641,1.137,25.400899410247803
1772875661.0246842,1.278,1.639,1.177,25.50074028968811
1772875661.1239934,1.279,1.637,1.214,25.60004949569702
1772875661.2239852,1.281,1.635,1.238,25.7000412940979
1772875661.324129,1.282,1.635,1.251,25.800185203552246
1772875661.4240851,1.282,1.634,1.25,25.90014123916626
1772875661.5242343,1.281,1.635,1.238,26.000290393829346
1772875661.6243815,1.281,1.638,1.231,26.1004376411438
1772875661.7245715,1.278,1.643,1.234,26.20062756538391
1772875661.8246777,1.279,1.646,1.237,26.30073380470276
1772875661.9241686,1.28,1.652,1.23,26.400224685668945
1772875662.025262,1.28,1.654,1.225,26.501318216323853
1772875662.1251554,1.278,1.658,1.232,26.601211547851562
1772875662.2238295,1.282,1.663,1.236,26.699885606765747
1772875662.323878,1.282,1.667,1.246,26.799934148788452
1772875662.4246182,1.284,1.672,1.252,26.90067434310913
1772875662.5244029,1.287,1.674,1.241,27.00045895576477
1772875662.624635,1.291,1.677,1.234,27.100691080093384
1772875662.7240689,1.297,1.68,1.239,27.200124979019165
1772875662.8241951,1.3,1.685,1.242,27.300251245498657
1772875662.9244535,1.307,1.691,1.252,27.40050959587097
1772875663.0245874,1.314,1.695,1.261,27.500643491744995
1772875663.125027,1.319,1.697,1.27,27.601083040237427
1772875663.2244174,1.324,1.702,1.273,27.70047354698181
1772875663.326917,1.327,1.707,1.268,27.80297303199768
1772875663.424055,1.33,1.708,1.269,27.900111198425293
1772875663.5242455,1.333,1.711,1.276,28.000301599502563
1772875663.6240897,1.339,1.713,1.288,28.10014581680298
1772875663.723878,1.343,1.715,1.31,28.199934005737305
1772875663.8245173,1.348,1.72,1.333,28.300573348999023
1772875663.9247673,1.351,1.724,1.358,28.40082335472107
1772875664.0240552,1.355,1.73,1.38,28.50011134147644
1772875664.1240323,1.356,1.731,1.399,28.600088357925415
1772875664.2239745,1.359,1.735,1.421,28.70003056526184
1772875664.3242154,1.359,1.739,1.452,28.80027151107788
1772875664.4240787,1.361,1.739,1.475,28.900134801864624
1772875664.5256147,1.364,1.743,1.469,29.001670837402344
1772875664.6239226,1.364,1.753,1.48,29.09997868537903
1772875664.7239,1.365,1.756,1.487,29.19995617866516
1772875664.8250415,1.368,1.763,1.473,29.301097631454468
1772875664.9238968,1.367,1.769,1.458,29.39995288848877
1772875665.0239797,1.369,1.776,1.454,29.500035762786865
1772875665.124302,1.371,1.783,1.452,29.60035800933838
1772875665.2244084,1.375,1.786,1.455,29.700464487075806
1772875665.323906,1.381,1.792,1.463,29.799962043762207
1772875665.4250517,1.384,1.797,1.477,29.901107788085938
1772875665.5238564,1.388,1.802,1.465,29.99991250038147
1772875665.6245062,1.39,1.812,1.465,30.10056233406067
1772875665.7239814,1.393,1.817,1.471,30.200037479400635
1772875665.8244405,1.393,1.82,1.465,30.300496578216553
1772875665.9241018,1.399,1.826,1.463,30.400157928466797
