ts,can_id,goal,speedmode,t
1772875680.6839948,1,-2.6062992125984255,True,2.6968727111816406
1772875680.6857462,2,-4.403084119000523,True,2.6986241340637207
1772875680.6873698,3,2.6062992125984255,True,2.7002477645874023
1772875680.6889045,4,-9.615682544197373,True,2.701782464981079
1772875680.7840822,1,-2.6062992125984255,True,2.7969601154327393
1772875680.7860858,2,-4.403084119000523,True,2.798963785171509
1772875680.7878666,3,2.6062992125984255,True,2.8007445335388184
1772875680.789594,4,-9.615682544197373,True,2.802471876144409
1772875680.8833323,1,-2.6062992125984255,True,2.896210193634033
1772875680.8849788,2,-4.403084119000523,True,2.8978567123413086
1772875680.886738,3,2.6062992125984255,True,2.899616003036499
1772875680.8884308,4,-9.615682544197373,True,2.90130877494812
1772875680.9834092,1,-2.6062992125984255,True,2.9962871074676514
1772875680.9851716,2,-4.403084119000523,True,2.99804949760437
1772875680.9868321,3,2.6062992125984255,True,2.9997100830078125
1772875680.9884522,4,-9.615682544197373,True,3.0013301372528076
1772875681.0832863,1,-2.6062992125984255,True,3.0961642265319824
1772875681.0849786,2,-4.403084119000523,True,3.0978565216064453
1772875681.0866911,3,2.6062992125984255,True,3.099569082260132
1772875681.088245,4,-9.615682544197373,True,3.1011228561401367
1772875681.1836562,1,-2.6062992125984255,True,3.1965341567993164
1772875681.1854656,2,-4.403084119000523,True,3.198343515396118
1772875681.1874492,3,2.6062992125984255,True,3.200327157974243
1772875681.1889796,4,-9.615682544197373,True,3.201857566833496
1772875681.283324,1,-2.6062992125984255,True,3.2962019443511963
1772875681.2850251,2,-4.403084119000523,True,3.297903060913086
1772875681.286676,3,2.6062992125984255,True,3.299553871154785
1772875681.2883713,4,-9.615682544197373,True,3.3012492656707764
1772875681.3834264,1,-2.6062992125984255,True,3.3963043689727783
1772875681.3851953,2,-4.403084119000523,True,3.398073196411133
1772875681.386846,3,2.6062992125984255,True,3.399724006652832
1772875681.3887205,4,-9.615682544197373,True,3.4015984535217285
1772875681.4835536,1,-2.6062992125984255,True,3.496431589126587
1772875681.4850988,2,-4.403084119000523,True,3.497976779937744
1772875681.486676,3,2.6062992125984255,True,3.499553918838501
1772875681.4881804,4,-9.615682544197373,True,3.501058340072632
1772875681.5852418,1,-2.6062992125984255,True,3.5981197357177734
1772875681.5873682,2,-4.403084119000523,True,3.6002461910247803
1772875681.589227,3,2.6062992125984255,True,3.602104902267456
1772875681.592279,4,-9.615682544197373,True,3.605156898498535
1772875681.6834786,1,-2.6062992125984255,True,3.6963565349578857
1772875681.6853306,2,-4.403084119000523,True,3.6982085704803467
1772875681.6871395,3,2.6062992125984255,True,3.7000174522399902
1772875681.68898,4,-9.615682544197373,True,3.7018580436706543
1772875681.7835734,1,-2.6062992125984255,True,3.7964513301849365
1772875681.7852821,2,-4.403084119000523,True,3.7981600761413574
1772875681.787203,3,2.6062992125984255,True,3.8000810146331787
1772875681.7889776,4,-9.615682544197373,True,3.8018555641174316
1772875681.8836658,1,-2.6062992125984255,True,3.8965437412261963
1772875681.885443,2,-4.403084119000523,True,3.8983209133148193
1772875681.8872786,3,2.6062992125984255,True,3.9001564979553223
1772875681.8890688,4,-9.615682544197373,True,3.901946783065796
1772875681.9834487,1,-2.6062992125984255,True,3.9963266849517822
1772875681.98523,2,-4.403084119000523,True,3.99810791015625
1772875681.986889,3,2.6062992125984255,True,3.9997668266296387
1772875681.988702,4,-9.615682544197373,True,4.001579999923706
1772875682.0835738,1,-2.6062992125984255,True,4.096451759338379
1772875682.0857656,2,-4.403084119000523,True,4.09864354133606
1772875682.0883434,3,2.6062992125984255,True,4.101221323013306
1772875682.0899973,4,-9.615682544197373,True,4.102875232696533
1772875682.1834373,1,-2.6062992125984255,True,4.196315288543701
1772875682.1850963,2,-4.403084119000523,True,4.19797420501709
1772875682.1868432,3,2.6062992125984255,True,4.199721097946167
1772875682.1887977,4,-9.615682544197373,True,4.201675653457642
1772875682.2833455,1,-2.6062992125984255,True,4.296223402023315
1772875682.284955,2,-4.403084119000523,True,4.29783296585083
1772875682.2866125,3,2.6062992125984255,True,4.299490451812744
1772875682.2884145,4,-9.615682544197373,True,4.301292419433594
1772875682.3833106,1,-2.6062992125984255,True,4.396188497543335
1772875682.3850567,2,-4.403084119000523,True,4.397934675216675
1772875682.386928,3,2.6062992125984255,True,4.399806022644043
